Dataset-Experiment;MeanDeviations;StdDeviations;MeanFmeasure;StdFmeasure;MeanAcc;StdAcc;MeanMAcc;StdMAcc;MeanGM;StdGM;MeanMS;StdMS;MeanAUC;StdAUC;MeanMAE;StdMAE;MeanAMAE;StdAMAE;MeanMMAE;StdMMAE;MeanMinMAE;StdMinMAE;MeanRSpearman;StdRSpearman;MeanTkendall;StdTkendall;MeanWkappa;StdWkappa;MeanTrainTime;StdTrainTime;MeanTestTime;StdTestTime;MeanCrossvalTime;StdCrossvalTime;MeanC;StdC;Meank;Stdk;
anneal-KernelELM1;0.247689;0.052191;0.917459;0.086792;0.979211;0.016830;0.919548;0.083838;0.906407;0.101249;0.700000;0.282843;0.128373;0.181547;0.034149;0.023152;0.155345;0.159814;0.600000;0.565685;0.000000;0.000000;0.923988;0.044444;0.946211;0.041488;0.934847;0.044247;0.021500;0.024749;0.023500;0.019092;9.439500;10.904294;1000.000000;0.000000;550.000000;636.396103;
balance-scale-KernelELM1;0.980278;0.022773;0.636070;0.002167;0.914013;0.003677;0.664352;0.002673;0.000000;0.000000;0.000000;0.000000;0.047059;0.017317;0.089172;0.007355;0.337963;0.005346;1.000000;0.000000;0.000000;0.000000;0.951726;0.007020;0.922323;0.006803;0.910828;0.007355;0.020500;0.004435;0.017500;0.003697;7.984000;0.455847;550.000000;519.615242;100.000000;0.000000;
bondrate-KernelELM1;0.865033;0.168560;0.348794;0.157598;0.603571;0.010559;0.343750;0.142154;0.000000;0.000000;0.000000;0.000000;0.461285;0.031408;0.466667;0.050992;0.962500;0.427125;2.000000;1.154701;0.000000;0.000000;0.380386;0.265347;0.303621;0.203291;0.232074;0.170679;0.000500;0.000577;0.002000;0.003367;0.271500;0.072339;3.000250;4.690203;55.000000;51.961524;
breast-KernelELM1;0.839399;0.181301;0.462066;0.076866;0.675172;0.018668;0.500747;0.015105;0.177281;0.250713;0.071429;0.101015;0.499253;0.015105;0.324828;0.018668;0.499253;0.015105;0.928571;0.101015;0.069934;0.070804;-0.023045;0.076933;-0.023045;0.076933;0.000005;0.038739;0.002000;0.002828;0.003500;0.003536;0.912500;0.792667;5.000500;7.070361;50.000500;70.709971;
contact-lenses-KernelELM1;0.626491;0.349122;0.677004;0.250671;0.766667;0.091287;0.733333;0.245798;0.522164;0.478969;0.400000;0.379144;0.250000;0.159344;0.366667;0.139443;0.433333;0.388194;1.100000;0.840387;0.000000;0.000000;0.462687;0.332386;0.467078;0.296130;0.456261;0.295194;0.000800;0.001304;0.000400;0.000548;0.200400;0.008295;242.200000;426.261891;244.000000;425.005882;
ecoli-KernelELM1;0.556353;0.114502;0.616319;0.004881;0.857605;0.018361;0.618589;0.020172;0.000000;0.000000;0.000000;0.000000;0.037070;0.000888;0.312210;0.007689;1.309314;0.212105;5.500000;0.707107;0.000000;0.000000;0.790333;0.025152;0.826204;0.006129;0.784209;0.002379;0.002000;0.002828;0.002500;0.000707;1.526500;1.426234;5.050000;7.000357;50.500000;70.003571;
ERA-KernelELM1;0.326420;0.021768;0.286499;0.030180;0.267000;0.038419;0.290821;0.019641;0.000000;0.000000;0.000000;0.000000;0.197807;0.029561;1.289000;0.067833;1.329642;0.047547;2.276478;0.301087;0.433333;0.309121;0.580474;0.033500;0.433365;0.042317;0.385597;0.032181;0.058000;0.004690;0.041750;0.006344;16.718250;1.390907;0.302500;0.466931;7.750000;4.500000;
ESL-KernelELM1;0.380771;0.078671;0.518498;0.057722;0.680328;0.067922;0.495124;0.046902;0.000000;0.000000;0.000000;0.000000;0.014356;0.004628;0.336066;0.065914;0.540542;0.074489;1.300000;0.476095;0.164216;0.125647;0.903517;0.019303;0.855335;0.026260;0.775511;0.036993;0.012250;0.000957;0.010000;0.001155;3.725250;0.072780;0.550000;0.519615;0.775000;0.450000;
glass-KernelELM1;0.344519;0.008830;0.697443;0.146007;0.684929;0.125378;0.679447;0.186959;0.653313;0.203942;0.455556;0.219989;0.200967;0.047386;0.517520;0.278268;0.648648;0.474868;1.283333;0.872098;0.134615;0.190375;0.812180;0.140080;0.622766;0.136522;0.695730;0.165999;0.002000;0.001414;0.000500;0.000707;0.590000;0.468105;500.000500;707.106074;5.050000;7.000357;
haberman-KernelELM1;0.813566;0.216166;0.600326;0.009539;0.737986;0.001618;0.546896;0.047321;0.328846;0.209743;0.141393;0.153593;0.453104;0.047321;0.262014;0.001618;0.453104;0.047321;0.858607;0.153593;0.047601;0.058950;0.156951;0.074116;0.156951;0.074116;0.115042;0.108112;0.002500;0.002121;0.002000;0.001414;0.861000;0.787717;5.000500;7.070361;10.000000;0.000000;
